severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ExecutionSafetyModelPanel.js,36,javascript:S6774,'compact' is missing in props validation,5min,2026-05-18T17:31:23+0000,2026-05-18T17:31:29+0000,AZ48LLiIIe9tYq10TrDL
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,28,javascript:S7781,Prefer `String#replaceAll()` over `String#replace()`.,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zV
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,338,javascript:S6774,'tone' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zX
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,338,javascript:S6774,'children' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zY
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,342,javascript:S6774,'label' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zZ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,342,javascript:S6774,'value' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9za
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,351,javascript:S6774,'execution' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zc
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,351,javascript:S6774,'compact' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zd
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,372,javascript:S6774,'execution.playbook_id' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9ze
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,372,javascript:S6774,'execution.id' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zf
